,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,candidates,Subjectivity,Polarity,Analysis
0,1589764392199294977,1589490200282923008,1667864342000.0,2022-11-08 00:39:02,+0100,,stop worrying yourself over our next president in person of asiwaju bola ahmed tinubu i swear po no fit win even if he the only candidate contesting,en,[],[],381032519.0,381032519,ooredolapo,Asiwaju Jagaban Omo Olodoide,2.0,00,https://twitter.com/ooredolapo/status/1589764392199294977,[],[],0.0,,False,2.0,0.0,0.0,,Asiwaju\Tinubu\Jagaban,,,,,,,"[{'screen_name': 'firstladyship', 'name': 'NEFERTITI', 'id': '201237617'}]",,,,,Bola Ahmed Tinubu,0.45,0.15000000000000002,Positive
1,1589762989334618112,1589702301509648384,1667864007000.0,2022-11-08 00:33:27,+0100,,what this one tweeting deep inside you you know youre lying to yourself but youre trying to impress your paymaster we understand your hatred for him tinubu,en,[],[],381032519.0,381032519,ooredolapo,Asiwaju Jagaban Omo Olodoide,2.0,00,https://twitter.com/ooredolapo/status/1589762989334618112,[],[],0.0,,False,1.0,0.0,0.0,,Asiwaju\Tinubu\Jagaban,,,,,,,"[{'screen_name': 'neckobi', 'name': 'Nonso Obi', 'id': '1199639384393441282'}]",,,,,Bola Ahmed Tinubu,0.4,0.0,Neutral
3,1589759791446241280,1589699071740383233,1667863245000.0,2022-11-08 00:20:45,+0100,,this man is too good  tinubushettima is the goal may asiwaju and shettima succeed,en,[],[],1.5089997430489784e+18,1508999743048978437,Jagaban_Olu,Adekunle Olushola,2.0,00,https://twitter.com/Jagaban_Olu/status/1589759791446241280,[],[],0.0,,False,0.0,0.0,0.0,,Asiwaju\Tinubu\Jagaban,,,,,,,"[{'screen_name': 'AjuriNgelale', 'name': 'Ajuri ⭕️ Ngelale', 'id': '941239281519091712'}]",,,,,Bola Ahmed Tinubu,0.6000000000000001,0.7,Positive
4,1589743505274204160,1589743505274204160,1667859362000.0,2022-11-07 23:16:02,+0100,,asiwaju bola ahmed tinubu apc presidential candidate and his running mate senator kashim shettima at town hall meeting with northern farmers and agrocommodity in minna on monday,en,[],[],1.5359763473985085e+18,1535976347398508546,JAGABAN_JAGABA,JAGABAN,1.0,23,https://twitter.com/JAGABAN_JAGABA/status/1589743505274204160,[],"['https://pbs.twimg.com/media/Fg_nROiX0AELBwT.jpg', 'https://pbs.twimg.com/media/Fg_nRqnWQAEMimD.jpg', 'https://pbs.twimg.com/media/Fg_nSEyXoAA-hXG.jpg', 'https://pbs.twimg.com/media/Fg_nSfFWAAEv4Fh.jpg']",1.0,https://pbs.twimg.com/media/Fg_nROiX0AELBwT.jpg,False,59.0,5.0,10.0,,Asiwaju\Tinubu\Jagaban,,,,,,,[],,,,,Bola Ahmed Tinubu,0.0,0.0,Neutral
5,1589739556278259715,1589733681421512704,1667858420000.0,2022-11-07 23:00:20,+0100,,this is where obi can win i will vote for him here but asiwaju tinubu the jagaban have themy real vote,en,[],[],8.044232116770243e+17,804423211677024257,prestigeofficia,Dè Prestige🔥,1.0,23,https://twitter.com/prestigeofficia/status/1589739556278259715,[],[],0.0,,False,19.0,15.0,4.0,,Asiwaju\Tinubu\Jagaban,,,,,,,"[{'screen_name': 'nigeria1sth', 'name': '#2023 Elections polls', 'id': '3288682660'}, {'screen_name': 'officialABAT', 'name': 'Bola Ahmed Tinubu', 'id': '493365529'}]",,,,,Bola Ahmed Tinubu,0.35000000000000003,0.5,Positive
6,1589719168466624512,1589529662916464642,1667853559000.0,2022-11-07 21:39:19,+0100,,its not about the game for jagaban asiwaju tinubu isnt just responsible to anyone,en,[],[],1.2679205879110492e+18,1267920587911049216,mutiyat_yusuf,Ọláyínká Ẹ̀kúnrẹ́rẹ́,1.0,21,https://twitter.com/mutiyat_yusuf/status/1589719168466624512,[],[],0.0,,False,3.0,0.0,0.0,,Asiwaju\Tinubu\Jagaban,,,,,,,"[{'screen_name': 'EmmyCoo52323626', 'name': 'Violence 007', 'id': '1550209866458927106'}, {'screen_name': 'UchePOkoye', 'name': 'Anambra 1st son💭', 'id': '104841568'}]",,,,,Bola Ahmed Tinubu,0.47500000000000003,-0.1,Negative
8,1589698436051632129,1589698436051632129,1667848616000.0,2022-11-07 20:16:56,+0100,,they have turned it to tinubu is not speaking to nigerians  someone that has met organized private sector in lagos businessmen in kano and will be meeting farmers from niger state in few hours   those people are kenyans abi   this is why he is asiwaju the jagaban,en,[],[],1.4817195348517028e+18,1481719534851702794,BolajiOyepoju,Bolaji Oyepoju,1.0,20,https://twitter.com/BolajiOyepoju/status/1589698436051632129,[],[],0.0,,False,50.0,4.0,20.0,,Asiwaju\Tinubu\Jagaban,,,,,,,[],,,,,Bola Ahmed Tinubu,0.2375,-0.1,Negative
9,1589696290216366082,1589696290216366082,1667848105000.0,2022-11-07 20:08:25,+0100,,egbekini wa ooooooooo awalokan oooooooo asiwaju he ahmed bola tinubu the asiwaju of nigeria the jagaban of borgu the jagaban of africa  the jagaban of the universe and the president of the federal republic of nigeria by the special grace of the almighty living god amen,en,[],[],1.5553487023526216e+18,1555348702352621569,PrinceAdeAkeem1,king Akeem,1.0,20,https://twitter.com/PrinceAdeAkeem1/status/1589696290216366082,[],[],1.0,https://pbs.twimg.com/ext_tw_video_thumb/1589696249783017472/pu/img/ry17PPz85a230VrQ.jpg,False,1.0,0.0,1.0,,Asiwaju\Tinubu\Jagaban,,,,,,,[],,,,,Bola Ahmed Tinubu,0.5714285714285714,0.35714285714285715,Positive
10,1589687938841210880,1589675664868720640,1667846114000.0,2022-11-07 19:35:14,+0100,,na party tinubu go he doesnt need a debate to communicate to nigerians he has always communicated he still did today at the meeting with agro farmers in niger state i love asiwajus strategy taking it to the people your desperate obi needs all the debate in the world,en,[],[],298672141.0,298672141,JustTayo_,Prince Adekanla Adetayo Richard (Omo Jagaban),1.0,19,https://twitter.com/JustTayo_/status/1589687938841210880,[],[],0.0,,False,0.0,1.0,0.0,,Asiwaju\Tinubu\Jagaban,,,,,,,"[{'screen_name': 'alakowe_e', 'name': 'Alákòwé', 'id': '1911880195'}]",,,,,Bola Ahmed Tinubu,0.8,-0.04999999999999999,Negative
11,1589683820336668672,1589641185853071361,1667845132000.0,2022-11-07 19:18:52,+0100,,asiwaju bola ahmed tinubu a man that knows his worth and goes where he wanted a god father political maestro and obidients nightmare the jagaban,en,[],[],1.5326791162977526e+18,1532679116297752581,_BATified,Ekene,1.0,19,https://twitter.com/_BATified/status/1589683820336668672,[],[],0.0,,False,1.0,1.0,0.0,,Asiwaju\Tinubu\Jagaban,,,,,,,"[{'screen_name': 'Mr_JAGs', 'name': 'Jubril A. Gawat', 'id': '903010735105740814'}]",,,,,Bola Ahmed Tinubu,0.1,0.15,Positive
