,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,candidates
0,1598080846644547584,1598080846644547584,1669847139000.0,2022-11-30 23:25:39,+0100,,Nigerians are adorable. 🇳🇬 They know who is working. They know who is whining. They've seen skills They've seen schemes Jagaban has got the skills They know what is key  They know Asiwaju Bola Ahmed Tinubu. His is the Voice of reason.  Nigerians are adorable. 🇳🇬 #RenewedHope  https://t.co/sGVXKA6dGI,en,['renewedhope'],[],1288493898025840646,1288493898025840646,cocastic4,Joe Plato,3,23,https://twitter.com/cocastic4/status/1598080846644547584,[],['https://pbs.twimg.com/media/Fi2GDp4XgAA-UP6.jpg'],1,https://pbs.twimg.com/media/Fi2GDp4XgAA-UP6.jpg,False,23,1,14,,Asiwaju\Tinubu\Jagaban,,,,,,,[],,,,,Bola Ahmed Tinubu
1,1598065873105096704,1598063843158417408,1669843569000.0,2022-11-30 22:26:09,+0100,,"@dipoaina1 @OfficialAPCNg gave SW d chance 2 av d executive power of President, Atiku is offering first lady. A woman @atiku neva made something out of safe he's only married 2 her. Tinubu made his wife a high ranking senator of d FR, she's contested n won elections. Has titi won anything?",en,[],[],946358525785202688,946358525785202688,PeterLanlehin,"JAGABAN ASIWAJU 𓃵 CEN,TM.",3,22,https://twitter.com/PeterLanlehin/status/1598065873105096704,[],[],0,,False,2,0,0,,Asiwaju\Tinubu\Jagaban,,,,,,,"[{'screen_name': 'dipoaina1', 'name': 'Ainà Dipo 🇳🇬', 'id': '1483830790014357507'}]",,,,,Bola Ahmed Tinubu
2,1598055733685555202,1598055733685555202,1669841152000.0,2022-11-30 21:45:52,+0100,,"That is JAGABAN for you. Even his co-contestant can testify to his characteristics and attributes. Come may 29, 2023, Asiwaju Bola Ahmed Tinubu will be sworn in as the next President and the Commander-in-Chief of the Federal Republic of Nigeria. Insha Allah",en,[],[],319590773,319590773,laniad64,Adetola Olaniun,3,21,https://twitter.com/laniad64/status/1598055733685555202,[],[],0,,False,0,0,0,https://twitter.com/tsg2023/status/1597876379655475200,Asiwaju\Tinubu\Jagaban,,,,,,,[],,,,,Bola Ahmed Tinubu
3,1598054835206914049,1597855388996898816,1669840937000.0,2022-11-30 21:42:17,+0100,,@btmusaesq @FredrickNwabufo I'm very Proud to support Asiwaju Bola Ahmed Tinubu the man that knows his onions. Ride on Jagaban,en,[],[],908614741265969157,908614741265969157,AdaptorOkulaja,OKULAJA ADEWUNMI W,3,21,https://twitter.com/AdaptorOkulaja/status/1598054835206914049,[],[],0,,False,1,2,0,,Asiwaju\Tinubu\Jagaban,,,,,,,"[{'screen_name': 'btmusaesq', 'name': 'Btm Of Kent🇬🇧🇳🇬', 'id': '2714366127'}, {'screen_name': 'FredrickNwabufo', 'name': 'Fredrick Nwabufo', 'id': '581672588'}]",,,,,Bola Ahmed Tinubu
4,1598014122331099136,1598014122331099136,1669831231000.0,2022-11-30 19:00:31,+0100,,"I say make I tell you;  As for me and my household, we already know the Next President of the Federal Republic of Nigeria and his name is Asiwaju Bola Ahmed Tinubu the Jagaban of Borgu 💪💪💪💪💪",en,[],[],1117369610,1117369610,tosino52,Oluwatosin Ronke,3,19,https://twitter.com/tosino52/status/1598014122331099136,[],[],0,,False,46,2,15,,Asiwaju\Tinubu\Jagaban,,,,,,,[],,,,,Bola Ahmed Tinubu
5,1598008194848395265,1597996849709088769,1669829817000.0,2022-11-30 18:36:57,+0100,,"@jighson 4)All 3 project won't have been a reality without the visioner, thinker &amp; initiator Asiwaju Bola Ahmed Tinubu. Both Dangote &amp; Deep Sea Port are tenants of LFTZ in case you don't know? Jagaban is the creator of enabling environment same as Eko Atlantic simplicita.",en,[],[],194527729,194527729,Jidolala,Iyiola babajide,3,18,https://twitter.com/Jidolala/status/1598008194848395265,[],[],0,,False,1,0,0,,Asiwaju\Tinubu\Jagaban,,,,,,,"[{'screen_name': 'jighson', 'name': 'Mesiri Abraham', 'id': '121184461'}]",,,,,Bola Ahmed Tinubu
6,1598004626854477824,1597988699459186688,1669828967000.0,2022-11-30 18:22:47,+0100,,@AdeWale35018792 @Qdpaper2 Peter Obi and his supporters will find this cumbersome to answer. Currently Obi-dent or what ever they are called are inconsequential to Asiwaju Bola Ahmed Tinubu(Jagaban)  way to success.,en,[],[],454771921,454771921,owoscobee,Owolabi Bayo,3,18,https://twitter.com/owoscobee/status/1598004626854477824,[],[],0,,False,0,1,0,,Asiwaju\Tinubu\Jagaban,,,,,,,"[{'screen_name': 'AdeWale35018792', 'name': 'Prince Adewale MOM', 'id': '1556983164484075520'}, {'screen_name': 'Qdpaper2', 'name': 'Qudus Akanbi Eleyi Of Lagos.', 'id': '1497996117153353737'}]",,,,,Bola Ahmed Tinubu
7,1597982539796611079,1597730462998286336,1669823701000.0,2022-11-30 16:55:01,+0100,,@StFreakingKezy @Spotlight_Abby Let her go back to their camp and tell them that without Obi-Lamba's manifesto Asiwaju Jagaban Bola Ahmed Tinubu is not appearing anywhere. Even head boy have manifesto not to talk of a man whose children will have to video every promise he makes to them.,en,[],[],717902907,717902907,adahfact,🇳🇬EcheCh'ofu🇳🇬,3,16,https://twitter.com/adahfact/status/1597982539796611079,[],[],0,,False,3,0,0,,Asiwaju\Tinubu\Jagaban,,,,,,,"[{'screen_name': 'StFreakingKezy', 'name': '🦅 𝕆𝕜𝕖𝕫𝕚𝕖 𝕁.𝔸𝕥𝕒ñ𝕚 🦅', 'id': '1481490065574580230'}, {'screen_name': 'Spotlight_Abby', 'name': 'Spotlight on #PeterObi2023 #Obidatti023', 'id': '1482061710798331912'}]",,,,,Bola Ahmed Tinubu
8,1597936374459793408,1597716950448476161,1669812694000.0,2022-11-30 13:51:34,+0100,,@Oga_TheLaw @Ajaguna1 @ezebuvick @FinPlanKaluAja1 I'm not of same tribe with any of the candidates but strongly believe Asiwaju Jagaban Bola Ahmed Tinubu ticks all the boxes. You can only say that of Obi-Lamba b/c he is Igbo. This is bigotry. As for health Obi-Lamba at his age shows more of amnesia than Tinubu.,en,[],[],717902907,717902907,adahfact,🇳🇬EcheCh'ofu🇳🇬,3,13,https://twitter.com/adahfact/status/1597936374459793408,[],[],0,,False,1,1,1,,Asiwaju\Tinubu\Jagaban,,,,,,,"[{'screen_name': 'Oga_TheLaw', 'name': 'Thomas Odika Sankara', 'id': '1545306921925808134'}, {'screen_name': 'Ajaguna1', 'name': 'ọ̀mò̩ ajáguńá', 'id': '1558918298493927424'}, {'screen_name': 'ezebuvick', 'name': 'dr ezebuiroh victor', 'id': '190029791'}, {'screen_name': 'FinPlanKaluAja1', 'name': 'Kalu Aja', 'id': '1160599200284860416'}]",,,,,Bola Ahmed Tinubu
9,1597921707859542017,1597866880349323264,1669809197000.0,2022-11-30 12:53:17,+0100,,@channelstv These are Asiwaju Bola Ahmed Tinubu's footprint in Lagos  This is not London or somewhere in the US o....but Lagos  Let's have other presidential candidate's achievement in their state. Then we can continue with more .  https://t.co/3fG3VoeBdH,en,[],[],328590092,328590092,johnnysleek,A Letter From JAGABAN,3,12,https://twitter.com/johnnysleek/status/1597921707859542017,[],"['https://pbs.twimg.com/media/Fiz1FjEXwAIKd62.jpg', 'https://pbs.twimg.com/media/Fiz1FmPXwAAcVtc.jpg', 'https://pbs.twimg.com/media/Fiz1FgdX0AAIJ9l.jpg', 'https://pbs.twimg.com/media/Fiz1FqwXkAQjRHL.jpg']",1,https://pbs.twimg.com/media/Fiz1FjEXwAIKd62.jpg,False,39,13,12,,Asiwaju\Tinubu\Jagaban,,,,,,,"[{'screen_name': 'channelstv', 'name': 'Channels Television', 'id': '125346858'}]",,,,,Bola Ahmed Tinubu
